FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,Annual,CHE,Switzerland,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.82978849,98.840621,98.85145351,98.86228602,98.87311853,98.88395103,98.89478354,98.9008016,98.9008016,98.9008016,98.94784476
A,Annual,CHE,Switzerland,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A,Annual,CHE,Switzerland,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A,Annual,CHI,Channel Islands,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,,,,,,,,,,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,,,
A,Annual,CHL,Chile,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,52.95581835,53.09758632,53.2393543,53.38112228,54.98816444,56.60529767,58.23252198,59.86983737,61.51724383,63.17474138,64.84233,66.5200097,68.20778048,69.90564234,71.61359527,73.29803594,74.92136543,76.61438896,78.15307347,79.8135322,81.35025593
A,Annual,CHL,Chile,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,50.93020344,51.18679267,51.43395989,51.65471264,53.21928976,54.79560816,56.3840428,57.98429897,59.59664186,61.22076212,62.85662723,64.50452638,66.16412487,67.83556426,69.51881798,71.18451893,72.75744191,74.37180759,75.70739056,77.15227438,78.60140201
A,Annual,CHN,China,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,4.749129728,4.753255147,5.528985777,6.493611075,7.603059422,8.857702602,10.2579124,11.80406059,13.49651897,15.33565931,17.32185341,19.45547303,21.73688998,24.16647602,26.74460295,29.47164254,32.34796659,35.37394687,38.54995517,41.87636327,43.92951121
A,Annual,CHN,China,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,27.74213049,27.96305521,28.20521426,31.24920031,34.32977538,37.44710289,40.60134624,43.79266882,47.02123405,50.28720531,53.59074602,56.93201958,60.31118938,63.72841884,67.18387134,70.6777103,74.21009911,77.78120118,81.39117991,85.04019869,85.61644761
A,Annual,CHN,China,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,13.12912376,13.49134882,14.36520496,16.4711643,18.7369101,21.15726769,23.71607541,26.41296376,29.25110684,32.22411192,35.32940402,38.5387437,41.85739972,45.29026847,48.83494578,52.48634689,56.24054077,60.09072637,64.02449293,68.03605785,69.65580705
A,Annual,COD,"Congo, Dem. Rep.",WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,23.65325639,23.0639022,22.474548,21.88519381,21.29583962,20.70648543,20.03057715,19.35974027,18.6939748,18.03944772,17.38993805,16.74544579,16.10597092,15.47151346,14.84207341,14.21765076,13.59824551,12.98385767,12.37448723,11.77013419,11.17079856
